the_geom,county,city_village_or_cdp,housing_type,complex_address,units,acres,status,year,comment,conversion_date,cartodb_id,latitude,longitude,number,street,city,zip
0101000020E6100000357C0BEBC64C52C06A17D34CF7684440,Suffolk,Hauppauge,APT,425-461 Lincoln Blvd.,83,4.3,BUILT,1964,,,1641,40.820047,-73.199641,425,Lincoln Blvd,Hauppauge,11788
0101000020E610000098C0ADBB794E52C09679ABAE435D4440,Suffolk,Islip,APT,3-15 Willowbrook Ave.& Montauk,39,1.3,BUILT,1964,,,1668,40.728628,-73.22618,15,Willowbrook Ave,Bay Shore,11706
0101000020E61000002592E865144552C0787FBC57AD5C4440,Suffolk,Sayville,APT,333 Candee Ave.,61,1.7,BUILT,1964,,,1707,40.72404,-73.07937,333,Candee Ave,Sayville,11782
0101000020E61000000873BB97FB2852C09F91088D60674440,Suffolk,Westhampton Beach,COOP,35 Library Ave.,52,5.3,BUILT,1964,,,1832,40.807634,-72.640356,35,Library Ave,Westhampton Beach,11978
0101000020E6100000C1E270E6572952C008CBD8D0CD684440,Suffolk,Westhampton Beach,APT,62 Oak St.,17,1,BUILT,1964,,,1842,40.818781,-72.64599,62,Oak St,Westhampton Beach,11978
0101000020E610000052B7B3AF3C5352C02783A3E4D56B4440,Suffolk,Commack,APT,Jericho Tpke. & Beechwood La.,106,6.1,BUILT,1964,,,1849,40.842465,-73.300579,,Jericho Tpke,Commack,11725
0101000020E6100000C18BBE82344F52C06E19709692694440,Suffolk,Hauppauge,APT,650-668 Veterans Memorial Hwy.,80,4.5,BUILT,1964,,,1853,40.824786,-73.23758,668,Veterans Hwy,Hauppauge,11788
0101000020E6100000D865F84F374A52C068B27F9E06704440,Suffolk,Saint James,APT,196-206 Jefferson Ave.,92,5.2,BUILT,1964,,,1883,40.875202,-73.159626,196,Jefferson Ave,Saint James,11780
0101000020E6100000D6C9198A3B6E52C0247B849A21654440,Nassau,Great Neck Plaza,COOP,21 Chapel Pl.,42,0.9,BUILT,1964,APTCONV,">76,<83",685,40.790088,-73.722384,21,Chapel Pl,Great Neck,11021
0101000020E61000004609FA0B3D6E52C0711E4E603A654440,Nassau,Great Neck Plaza,COOP,25 Chapel Pl.,38,0.8,BUILT,1964,APTCONV,1984,715,40.790844,-73.722476,25,Chapel Pl,Great Neck,11021
0101000020E610000013D55B035B6E52C0D6A9F23D23654440,Nassau,Great Neck Plaza,COOP,20 Canterbury Rd.,47,1,BUILT,1964,APTCONV,1982,729,40.790138,-73.724305,20,Canterbury Rd,Great Neck,11021
0101000020E6100000BB46CB811E6D52C0D4D51D8B6D644440,Nassau,Manhasset,APT,1 High Ct.,52,3.8,BUILT,1964,AFFORD,,746,40.784593,-73.704987,1,High Ct,Manhasset,11030
0101000020E6100000ED9C6681765C52C09DF6949C135D4440,Nassau,Farmingdale,COOP,700 Fulton St.,55,1.9,BUILT,1964,APTCONV,1989,898,40.727161,-73.444733,700,Fulton St,Farmingdale,11735
0101000020E610000016889E94495B52C0B16A10E676594440,Suffolk,North Amityville,COOP,700 Broadway,51,3.3,BUILT,1964,APTCONV,1988,1106,40.698941,-73.426366,700,Broadway,Amityville,11701
0101000020E6100000EC82C135775752C0BDF7DCAE3C5B4440,Suffolk,West Babylon,COOP,Farber Dr. & Sunrise Hwy.,220,11.9,BUILT,1964,APTCONV,1982,1140,40.7127894,-73.366651,,Farber Dr,Babylon,11713
0101000020E6100000BA69334E430252C0145E82531F804440,Suffolk,Napeague,COOP,2136 Montauk Hwy.,48,3.6,BUILT,1964,MOTELCONV,1980,1432,41.000956,-72.035358,2136,Montauk Hwy,Amagansett,11930
0101000020E61000004278B471C42952C05E0EBBEF18764440,Suffolk,Riverhead,APT,821 East Main St.,135,6.8,BUILT,1964,AFFORD,,1745,40.922636,-72.652615,821,E Main St,Riverhead,11901
0101000020E6100000A1F831E6AE2052C096CB46E7FC6C4440,Suffolk,Hampton Bays,COOP,40 Penny La.,28,2.5,BUILT,1964,MOTELCONV,1986,1761,40.851468,-72.510675,40,Penny Ln,Hampton Bays,11946
0101000020E6100000BBEEAD484C5052C084BBB376DB714440,Suffolk,Kings Park,COOP,130-146 Church St.,144,8.1,BUILT,1964,APTCONV,1988,1864,40.88951,-73.254656,130,Church St,Kings Park,11754
0101000020E6100000A39410ACAA1A52C01EC4CE143A8B4440,Suffolk,Southold,COND,22400 Soundview Ave.& North Rd,42,1.2,BUILT,1964,MOTELCONV,1985,1908,41.08771,-72.416667,22400,Soundview Ave,Southold,11971
0101000020E6100000F8F31208E06852C03999B85510614440,Nassau,East Williston,COND,1 Bengeyfield Dr.,15,0.7,BUILT,1965,APTCONV,1979 E,651,40.758311,-73.6386738,1,Bengeyfield Dr,North Hempstead,14004
0101000020E61000002CD505BCCC6652C0274A42226D534440,Nassau,Baldwin,APT,21 Old Mill Rd.,29,1.2,BUILT,1965,,,34,40.651768,-73.606246,21,Old Mill Rd,Baldwin,11510
0101000020E61000004CDE0033DF6752C0F2608BDD3E5B4440,Nassau,Hempstead,APT,193 Washington St.,22,0.4,BUILT,1965,,,226,40.712856,-73.622998,193,Washington St,Hempstead,11550
